Ticket_ID,Age,Ticket_Price,Movie_Genre,Seat_Type,Number_of_Person,Purchase_Again,Cluster,Year
X0475,18,11.5,Horror,VIP,2,Yes,0.0,
A9027,52,19.11,Comedy,VIP,4,No,4.0,
Q9785,44,15.85,Drama,Standard,1,Yes,1.0,
H3475,34,21.44,Sci-Fi,Premium,3,Yes,3.0,
M2148,33,11.14,Drama,Premium,2,No,0.0,
E4423,33,10.43,Horror,Standard,1,Yes,0.0,
P4882,22,14.54,Comedy,Standard,5,Yes,2.0,
F8549,30,15.86,Sci-Fi,VIP,1,No,0.0,
A0701,47,21.43,Comedy,VIP,4,No,4.0,
Y0325,21,19.84,Horror,Premium,4,Yes,3.0,
I8049,52,16.67,Horror,Standard,4,Yes,1.0,
W8712,43,22.55,Comedy,Premium,4,Yes,4.0,
A0309,21,24.54,Drama,Standard,5,No,3.0,
O1319,45,23.03,Sci-Fi,Premium,1,No,4.0,
S5625,59,24.79,Drama,Standard,1,Yes,4.0,
P8221,41,16.08,Action,Premium,2,No,1.0,
E6974,59,17.37,Sci-Fi,VIP,6,No,2.0,
N6210,33,11.42,Drama,VIP,3,No,0.0,
O7808,26,10.03,Sci-Fi,VIP,1,Yes,0.0,
J6656,54,24.26,Horror,VIP,1,Yes,4.0,
P6869,28,16.84,Action,Premium,1,No,0.0,
A8022,44,14.89,Horror,Standard,1,No,1.0,
C9977,58,24.96,Action,Standard,1,Yes,4.0,
W0714,43,14.85,Horror,Premium,7,No,2.0,
P4039,27,17.27,Drama,Standard,1,Yes,3.0,
A1254,32,23.14,Comedy,Premium,3,No,3.0,
B8586,38,15.92,Action,Standard,1,Yes,0.0,
U8055,56,15.2,Comedy,Premium,6,Yes,2.0,
L0268,57,16.0,Sci-Fi,Standard,5,Yes,1.0,
S7944,27,21.17,Action,Standard,1,Yes,3.0,
P6902,50,13.53,Action,Standard,3,Yes,1.0,
W7792,52,15.62,Drama,VIP,1,No,1.0,
K8175,19,23.87,Horror,Standard,7,Yes,2.0,
M6833,50,19.67,Horror,Standard,1,No,4.0,
U0452,32,13.16,Drama,Standard,1,No,0.0,
G3963,36,18.67,Comedy,Premium,1,Yes,3.0,
G5089,53,16.59,Comedy,Standard,1,No,1.0,
U2874,51,21.05,Comedy,Premium,1,Yes,4.0,
B4763,39,18.61,Comedy,Standard,1,No,3.0,
X3386,55,13.54,Comedy,Standard,4,Yes,1.0,
M7876,30,16.39,Comedy,Premium,3,Yes,0.0,
X5473,48,11.14,Sci-Fi,VIP,6,Yes,2.0,
R1798,47,24.93,Sci-Fi,VIP,5,Yes,4.0,
A9193,33,17.57,Horror,VIP,2,Yes,3.0,
T1022,24,14.5,Action,Premium,1,Yes,0.0,
L2917,52,17.91,Sci-Fi,VIP,1,No,4.0,
K3788,42,24.01,Horror,VIP,1,Yes,4.0,
P6373,52,22.84,Horror,Standard,7,Yes,2.0,
C5761,24,18.2,Action,Standard,1,Yes,3.0,
S8388,36,15.19,Drama,VIP,6,Yes,2.0,
S7393,46,15.45,Action,Premium,2,No,1.0,
D6725,45,14.17,Sci-Fi,Premium,7,No,2.0,
V6047,57,20.5,Action,Standard,1,No,4.0,
U4238,28,21.67,Action,Premium,7,No,2.0,
C9056,27,22.17,Comedy,VIP,1,No,3.0,
L8764,20,22.32,Comedy,VIP,5,No,3.0,
D2585,25,21.96,Drama,VIP,6,Yes,2.0,
E6176,21,12.6,Horror,Standard,1,Yes,0.0,
P9796,32,18.0,Horror,Standard,1,No,3.0,
K3643,30,18.35,Comedy,VIP,7,Yes,2.0,
V3523,45,16.36,Action,Premium,4,No,1.0,
O9883,35,11.71,Action,Premium,1,No,0.0,
N2970,54,17.27,Horror,Premium,4,No,1.0,
U4102,19,18.82,Drama,VIP,1,Yes,3.0,
Y5792,48,14.3,Drama,Standard,1,Yes,1.0,
R7113,29,15.28,Drama,Premium,4,No,0.0,
M9202,33,12.53,Horror,Standard,4,No,0.0,
D0431,44,18.79,Comedy,VIP,7,Yes,2.0,
V4471,44,16.35,Sci-Fi,VIP,3,Yes,1.0,
C8354,46,19.82,Sci-Fi,Premium,6,Yes,2.0,
M4257,39,15.54,Action,VIP,5,No,2.0,
L0821,50,23.19,Horror,Standard,3,Yes,4.0,
T5345,22,17.21,Horror,VIP,6,Yes,2.0,
Y0633,27,18.28,Drama,Premium,6,No,2.0,
F4455,49,10.42,Comedy,VIP,7,Yes,2.0,
G4467,34,14.67,Drama,Standard,1,Yes,0.0,
U9336,18,12.86,Comedy,VIP,1,No,0.0,
Y3762,31,10.46,Comedy,Standard,6,Yes,2.0,
L2256,24,19.83,Action,Premium,1,No,3.0,
I0247,38,11.77,Action,VIP,1,Yes,0.0,
W2915,28,16.49,Drama,Standard,5,Yes,2.0,
I4065,51,19.66,Comedy,Premium,1,No,4.0,
N0035,28,10.62,Drama,Premium,5,Yes,0.0,
S6422,24,10.64,Comedy,Standard,5,Yes,0.0,
G8325,25,13.72,Comedy,Premium,1,Yes,0.0,
I1245,20,22.95,Horror,Premium,3,No,3.0,
T6074,42,13.78,Horror,Standard,1,No,1.0,
A2431,27,11.39,Comedy,Standard,1,No,0.0,
R8918,21,16.79,Comedy,Standard,5,No,2.0,
Q1565,35,19.1,Horror,Premium,1,No,3.0,
X1087,38,11.85,Action,Standard,1,No,0.0,
X9848,31,21.73,Horror,VIP,1,No,3.0,
L3648,47,15.59,Action,Premium,5,Yes,2.0,
P1932,24,23.84,Drama,Standard,3,Yes,3.0,
K9302,26,19.62,Drama,Premium,1,No,3.0,
W3077,30,12.5,Sci-Fi,VIP,1,Yes,0.0,
I0125,36,15.99,Comedy,Standard,7,No,2.0,
J6626,54,14.64,Comedy,VIP,1,Yes,1.0,
P5015,57,21.95,Action,Standard,1,Yes,4.0,
S7385,32,23.25,Action,Premium,1,No,3.0,
W0263,34,22.98,Comedy,VIP,6,Yes,2.0,
V9507,35,10.07,Action,Premium,4,No,0.0,
B8133,49,17.0,Sci-Fi,Standard,4,No,1.0,
S6701,52,19.6,Sci-Fi,Standard,5,Yes,2.0,
Y7433,32,19.19,Drama,VIP,1,Yes,3.0,
R4683,50,14.45,Drama,Premium,1,Yes,1.0,
V6833,21,16.08,Horror,VIP,1,No,0.0,
H3429,40,12.5,Sci-Fi,Premium,7,Yes,2.0,
W1110,20,11.14,Drama,Premium,1,Yes,0.0,
P7270,37,20.66,Horror,Premium,1,Yes,3.0,
F9649,41,12.33,Action,Standard,3,No,1.0,
N4274,51,16.05,Comedy,Standard,4,Yes,1.0,
F2620,45,24.54,Comedy,Standard,6,Yes,2.0,
G5657,37,21.52,Action,Premium,1,Yes,3.0,
K8095,36,16.39,Comedy,Standard,4,Yes,2.0,
R4386,31,16.48,Horror,Standard,1,No,0.0,
P2426,23,23.26,Drama,Premium,2,No,3.0,
J1499,33,11.8,Drama,Premium,4,Yes,0.0,
V3059,55,12.82,Horror,VIP,4,No,1.0,
B5952,37,13.85,Comedy,VIP,4,Yes,0.0,
V3085,40,12.11,Action,Standard,1,Yes,0.0,
I0518,53,12.6,Drama,VIP,7,Yes,2.0,
G8812,20,12.99,Comedy,Premium,4,No,0.0,
M5460,43,14.09,Action,Premium,7,Yes,2.0,
I1201,38,20.15,Action,Standard,7,No,2.0,
G4176,22,17.75,Action,VIP,5,No,2.0,
N2552,33,14.97,Horror,Premium,1,Yes,0.0,
N5378,58,13.01,Sci-Fi,VIP,1,Yes,1.0,
I1329,56,13.09,Drama,Standard,4,Yes,1.0,
Q1018,49,11.74,Action,Premium,7,Yes,2.0,
I1285,35,16.89,Horror,Premium,6,Yes,2.0,
Z9207,30,15.49,Drama,VIP,5,Yes,2.0,
Y3702,29,20.74,Horror,VIP,1,No,3.0,
N5089,41,22.05,Horror,Standard,5,No,2.0,
B2777,60,16.52,Drama,Standard,3,Yes,1.0,
Q3956,24,13.69,Drama,Premium,1,Yes,0.0,
M2613,42,11.1,Horror,Premium,1,No,1.0,
M8224,58,21.89,Comedy,Standard,3,No,4.0,
G6931,47,11.31,Action,Premium,1,No,1.0,
X2879,43,17.62,Comedy,Premium,4,No,2.0,
L0222,30,23.26,Drama,Premium,1,Yes,3.0,
J8057,54,15.91,Sci-Fi,Premium,1,No,1.0,
D9454,31,21.5,Action,Standard,5,Yes,2.0,
Y6890,30,17.21,Action,Premium,5,No,2.0,
K4381,42,14.22,Sci-Fi,Standard,7,No,2.0,
H8074,56,10.86,Horror,Premium,1,Yes,1.0,
G1928,29,21.27,Horror,Premium,2,No,3.0,
P9848,24,13.01,Action,VIP,4,Yes,0.0,
R3496,28,14.69,Drama,Standard,1,No,0.0,
L6719,48,14.12,Horror,Premium,1,Yes,1.0,
M4803,55,17.73,Comedy,Premium,1,Yes,4.0,
K3727,33,12.79,Horror,Standard,1,Yes,0.0,
Z8213,51,12.45,Drama,VIP,4,No,1.0,
K9919,55,19.76,Sci-Fi,VIP,1,Yes,4.0,
X5590,18,15.51,Action,VIP,4,No,0.0,
I4060,37,24.07,Drama,Standard,6,No,2.0,
Y6457,29,23.92,Sci-Fi,Standard,4,No,3.0,
R1338,28,18.11,Drama,VIP,1,Yes,3.0,
C8928,35,15.4,Action,Premium,7,Yes,2.0,
Y4752,32,21.25,Sci-Fi,VIP,4,No,3.0,
I8573,27,18.85,Comedy,VIP,6,No,2.0,
C1192,23,13.33,Action,VIP,4,No,0.0,
M9673,18,10.38,Drama,Standard,7,No,2.0,
M1539,18,11.23,Drama,Premium,1,No,0.0,
N1839,50,13.63,Horror,VIP,1,No,1.0,
P1884,34,19.28,Action,Standard,2,Yes,3.0,
Q4649,24,17.02,Sci-Fi,VIP,1,No,0.0,
Y6750,52,18.09,Drama,VIP,4,Yes,4.0,
O2168,24,11.71,Sci-Fi,VIP,1,No,0.0,
U8934,50,21.68,Sci-Fi,VIP,2,Yes,4.0,
U3817,44,18.45,Comedy,Premium,1,Yes,4.0,
Z0219,47,10.35,Drama,Standard,1,No,1.0,
U7953,31,20.66,Comedy,Premium,3,Yes,3.0,
P8419,57,24.9,Drama,Standard,2,No,4.0,
T3482,22,22.03,Comedy,VIP,1,No,3.0,
H6371,48,24.02,Comedy,VIP,1,No,4.0,
P3569,38,10.26,Horror,Standard,1,No,0.0,
Y4248,20,24.92,Horror,Standard,5,No,3.0,
N9830,44,14.9,Horror,Premium,1,Yes,1.0,
B1744,34,10.71,Comedy,Standard,1,No,0.0,
O7771,36,11.09,Action,Premium,6,No,2.0,
R0885,24,21.61,Action,VIP,7,Yes,2.0,
A5251,26,24.99,Sci-Fi,Premium,1,No,3.0,
Z7628,31,20.97,Horror,Premium,1,No,3.0,
Q4641,19,10.03,Comedy,Premium,2,No,0.0,
O4918,25,18.81,Horror,VIP,4,No,3.0,
X9125,28,20.41,Comedy,Premium,1,Yes,3.0,
B4363,20,19.03,Horror,Premium,2,No,3.0,
U9991,46,13.3,Comedy,VIP,1,No,1.0,
E0138,18,11.96,Sci-Fi,Premium,7,Yes,2.0,
P2977,60,19.87,Sci-Fi,VIP,5,No,4.0,
C8279,40,24.45,Action,VIP,6,Yes,2.0,
H6999,42,13.34,Comedy,VIP,6,Yes,2.0,
Y0798,43,23.69,Sci-Fi,Standard,7,No,2.0,
V7065,51,21.86,Drama,Premium,1,Yes,4.0,
E3076,31,21.67,Comedy,Standard,3,No,3.0,
Z0104,35,24.65,Drama,Standard,1,Yes,3.0,
R4883,48,13.49,Drama,Premium,1,Yes,1.0,
Z8082,23,15.29,Sci-Fi,VIP,6,Yes,2.0,
D2037,51,10.86,Comedy,Premium,3,Yes,1.0,
Y6288,60,19.93,Action,Premium,5,Yes,4.0,
R9227,20,20.02,Horror,Premium,2,Yes,3.0,
I6652,28,15.39,Action,Standard,1,No,0.0,
G3422,55,21.55,Comedy,Standard,1,No,4.0,
E8769,24,23.26,Drama,Standard,7,Yes,2.0,
J4048,32,22.88,Sci-Fi,Standard,5,No,2.0,
D1283,36,11.94,Drama,VIP,4,Yes,0.0,
T4714,45,15.45,Horror,VIP,6,No,2.0,
E0466,20,11.13,Horror,Standard,1,No,0.0,
Q2283,57,24.13,Action,Premium,5,Yes,4.0,
V0461,58,16.75,Action,VIP,5,Yes,1.0,
E3795,46,18.49,Drama,VIP,1,Yes,4.0,
V6571,38,21.52,Sci-Fi,Standard,1,No,3.0,
O7454,52,16.34,Comedy,Premium,1,Yes,1.0,
H3432,49,11.54,Horror,VIP,6,Yes,2.0,
B8493,54,22.4,Sci-Fi,Premium,1,No,4.0,
B4025,30,10.03,Action,Standard,7,No,2.0,
Q5838,31,22.16,Sci-Fi,Premium,4,No,3.0,
H1744,25,23.07,Action,Premium,3,Yes,3.0,
I2389,26,23.14,Sci-Fi,Standard,1,No,3.0,
S0920,22,11.78,Action,Standard,1,No,0.0,
G6769,34,15.52,Action,Standard,1,No,0.0,
P3703,22,18.34,Drama,Premium,1,No,3.0,
S9537,34,10.23,Comedy,Standard,1,Yes,0.0,
T5353,42,17.78,Drama,Premium,1,Yes,4.0,
A7782,19,23.18,Drama,Standard,1,Yes,3.0,
P1899,52,22.0,Sci-Fi,Standard,1,No,4.0,
K1161,30,21.52,Comedy,VIP,1,No,3.0,
U0268,26,23.17,Drama,Premium,1,No,3.0,
W3789,48,20.37,Action,VIP,1,No,4.0,
I2507,41,23.37,Comedy,VIP,1,No,4.0,
B4004,55,16.38,Sci-Fi,Standard,3,No,1.0,
N2899,42,16.9,Sci-Fi,Standard,1,No,1.0,
L6276,21,12.81,Sci-Fi,Standard,7,No,2.0,
O2405,29,20.26,Sci-Fi,Premium,2,No,3.0,
F5465,54,19.41,Sci-Fi,VIP,4,Yes,4.0,
S7859,38,13.64,Drama,Premium,1,Yes,0.0,
N1442,25,12.54,Sci-Fi,Premium,1,No,0.0,
D3688,49,10.41,Horror,VIP,5,Yes,1.0,
K6350,30,22.15,Comedy,VIP,1,Yes,3.0,
E8457,55,17.88,Drama,Premium,1,No,4.0,
U2904,56,10.21,Action,Standard,5,Yes,1.0,
H0766,18,14.63,Sci-Fi,Premium,1,No,0.0,
Z2277,48,14.98,Action,Premium,4,No,1.0,
Y1044,55,15.49,Sci-Fi,VIP,6,No,2.0,
I1692,53,11.21,Horror,VIP,1,No,1.0,
S3826,50,14.52,Horror,Standard,4,Yes,1.0,
P5481,25,10.61,Action,Premium,4,No,0.0,
G9153,30,10.27,Comedy,VIP,5,No,0.0,
B9078,22,18.01,Sci-Fi,Standard,1,No,3.0,
K4001,38,14.39,Action,VIP,4,No,2.0,
Q2976,32,23.57,Drama,VIP,1,No,3.0,
L4821,28,14.96,Drama,VIP,6,Yes,2.0,
S6575,47,21.95,Action,Standard,3,No,4.0,
C2285,21,23.4,Comedy,Standard,1,Yes,3.0,
K7735,52,21.43,Horror,Premium,1,No,4.0,
G3626,46,16.14,Horror,Premium,7,No,2.0,
B9198,26,12.8,Drama,Standard,1,Yes,0.0,
F7537,20,19.47,Sci-Fi,Premium,3,Yes,3.0,
M2223,50,13.49,Comedy,Standard,6,Yes,2.0,
K8826,39,15.75,Sci-Fi,VIP,1,No,0.0,
B1192,52,22.45,Drama,VIP,1,No,4.0,
N6061,24,16.15,Action,Premium,5,Yes,2.0,
J3637,29,21.42,Sci-Fi,VIP,1,No,3.0,
L0905,31,17.7,Horror,Premium,1,Yes,3.0,
Q1064,18,19.33,Horror,VIP,4,Yes,3.0,
T6565,20,17.66,Comedy,Standard,1,No,3.0,
T3563,37,16.75,Horror,VIP,1,Yes,0.0,
Y8937,33,22.07,Drama,Standard,6,No,2.0,
D4512,20,14.37,Action,Standard,7,Yes,2.0,
I0300,53,15.82,Comedy,VIP,1,No,1.0,
B8840,52,16.14,Drama,Standard,1,Yes,1.0,
M3087,58,22.11,Comedy,VIP,4,No,4.0,
K6175,42,11.81,Comedy,Standard,1,Yes,1.0,
I2406,52,21.83,Sci-Fi,Premium,3,Yes,4.0,
U6984,24,13.68,Action,Premium,1,No,0.0,
J9064,20,17.29,Horror,VIP,1,No,3.0,
M5068,33,10.17,Sci-Fi,Premium,4,No,0.0,
W3776,54,21.26,Drama,Standard,3,No,4.0,
O7505,31,14.19,Drama,Premium,1,No,0.0,
S0443,38,14.68,Sci-Fi,Standard,7,No,2.0,
X3353,28,18.37,Sci-Fi,VIP,7,No,2.0,
L8241,55,16.98,Horror,Premium,4,Yes,1.0,
B0684,46,12.16,Horror,Standard,5,Yes,1.0,
C3968,41,18.43,Sci-Fi,Premium,2,No,4.0,
V6951,36,22.63,Comedy,VIP,7,Yes,2.0,
A4622,35,22.33,Drama,Premium,4,Yes,3.0,
M9282,49,15.92,Drama,Standard,7,Yes,2.0,
F2596,25,14.2,Action,VIP,5,Yes,2.0,
B6368,57,12.49,Horror,Premium,3,No,1.0,
G8621,42,20.21,Drama,Standard,1,No,4.0,
Z8270,55,20.34,Horror,VIP,1,Yes,4.0,
F1834,40,23.34,Action,Premium,5,No,2.0,
D5786,55,23.03,Action,VIP,7,Yes,2.0,
U3904,56,20.53,Horror,Premium,7,Yes,2.0,
W7445,19,23.77,Comedy,Premium,1,No,3.0,
L4400,57,16.33,Drama,VIP,1,Yes,1.0,
V8116,53,14.76,Horror,Premium,3,Yes,1.0,
J4658,52,14.05,Comedy,Standard,3,No,1.0,
W4387,54,15.18,Comedy,Premium,1,No,1.0,
U8752,57,14.92,Horror,VIP,3,No,1.0,
Y2620,59,23.03,Comedy,VIP,3,No,4.0,
M3362,51,24.19,Action,Standard,1,Yes,4.0,
T2430,20,20.15,Sci-Fi,VIP,1,Yes,3.0,
E8799,26,10.11,Action,VIP,7,No,2.0,
X4543,43,16.05,Action,Premium,1,No,1.0,
Q5817,54,16.4,Drama,Premium,3,Yes,1.0,
X0949,41,11.79,Comedy,VIP,1,Yes,1.0,
S0878,49,13.8,Drama,Premium,1,No,1.0,
A0388,43,20.17,Horror,Standard,1,Yes,4.0,
L5567,36,16.11,Comedy,Standard,2,Yes,0.0,
C9920,26,16.24,Comedy,Standard,6,Yes,2.0,
D9547,48,13.81,Action,Premium,4,No,1.0,
P0306,31,17.46,Sci-Fi,Premium,1,Yes,3.0,
C3874,20,12.01,Action,Premium,1,Yes,0.0,
T1098,24,24.43,Drama,VIP,7,Yes,2.0,
Z5047,25,23.2,Horror,VIP,5,No,3.0,
B0660,30,21.26,Comedy,VIP,1,No,3.0,
W6958,52,24.3,Drama,VIP,1,Yes,4.0,
Q8351,26,21.15,Drama,Premium,1,No,3.0,
P0379,33,19.94,Comedy,VIP,3,No,3.0,
B1030,56,22.49,Horror,Standard,3,No,4.0,
E8595,58,19.08,Comedy,Premium,1,No,4.0,
X8408,41,19.68,Comedy,VIP,1,No,4.0,
L3487,44,10.65,Action,VIP,5,Yes,1.0,
L0206,24,21.78,Drama,Premium,3,Yes,3.0,
I2310,41,17.32,Comedy,Premium,3,Yes,1.0,
F5776,33,15.88,Drama,Premium,1,No,0.0,
T9882,18,20.05,Horror,Standard,6,No,2.0,
O6286,29,14.4,Drama,Standard,1,No,0.0,
I7347,22,21.53,Drama,Standard,1,No,3.0,
M3443,27,21.42,Sci-Fi,VIP,1,Yes,3.0,
O5296,47,21.68,Sci-Fi,Standard,1,Yes,4.0,
D3902,30,23.22,Sci-Fi,Standard,1,Yes,3.0,
U9995,26,10.14,Comedy,Standard,4,No,0.0,
N5512,36,12.07,Action,Premium,4,No,0.0,
B4448,41,18.49,Action,VIP,7,No,2.0,
M9760,46,14.97,Horror,Standard,1,No,1.0,
Z6618,57,15.39,Drama,Standard,1,Yes,1.0,
C9548,44,24.48,Horror,VIP,1,No,4.0,
S1808,21,13.64,Sci-Fi,Premium,1,Yes,0.0,
G5055,60,10.33,Horror,Premium,1,Yes,1.0,
W9028,35,11.37,Sci-Fi,Standard,3,Yes,0.0,
J4976,32,23.62,Sci-Fi,VIP,4,Yes,3.0,
E4812,44,23.79,Drama,VIP,2,Yes,4.0,
A4844,48,10.1,Horror,Standard,1,No,1.0,
J1949,31,18.82,Sci-Fi,VIP,6,No,2.0,
T6189,29,21.83,Drama,Standard,5,Yes,2.0,
C5599,51,12.22,Drama,Standard,1,No,1.0,
C7647,38,21.27,Comedy,Standard,3,Yes,3.0,
Y7282,27,23.31,Horror,VIP,1,Yes,3.0,
P6993,37,15.67,Drama,Premium,1,Yes,0.0,
F1093,38,15.6,Drama,Standard,1,Yes,0.0,
B8523,25,14.7,Comedy,Standard,7,Yes,2.0,
G2170,32,11.74,Sci-Fi,Premium,1,No,0.0,
H1831,48,21.06,Comedy,VIP,6,No,2.0,
W2821,36,11.54,Comedy,VIP,6,No,2.0,
H8426,42,24.74,Drama,Premium,7,No,2.0,
M7144,50,14.78,Drama,VIP,4,No,1.0,
D0530,53,10.17,Sci-Fi,Standard,6,No,1.0,
S2049,48,22.43,Comedy,Premium,6,No,2.0,
J4439,24,18.72,Action,VIP,6,Yes,2.0,
U3687,42,16.88,Comedy,Premium,6,Yes,2.0,
S5808,19,20.73,Action,Premium,1,No,3.0,
S9738,38,16.99,Sci-Fi,VIP,1,Yes,0.0,
F0463,43,13.09,Action,VIP,6,Yes,2.0,
W2590,20,18.01,Horror,Premium,1,Yes,3.0,
Z8084,39,20.49,Sci-Fi,Premium,4,No,2.0,
E6569,32,24.91,Action,Premium,1,No,3.0,
E9851,23,21.16,Horror,Standard,1,Yes,3.0,
I3546,33,24.05,Action,Standard,4,Yes,3.0,
Y0761,47,18.52,Comedy,Standard,6,No,2.0,
K1022,31,10.5,Action,Premium,1,Yes,0.0,
X0028,40,16.54,Sci-Fi,Premium,1,No,1.0,
G5344,49,23.04,Horror,VIP,7,No,2.0,
R5874,42,19.82,Sci-Fi,VIP,7,No,2.0,
I9463,29,24.77,Action,Standard,7,Yes,2.0,
E5861,23,15.16,Sci-Fi,Premium,3,Yes,0.0,
Z8170,27,24.04,Action,Premium,2,No,3.0,
Q2062,18,15.89,Comedy,VIP,6,No,2.0,
Z4956,44,15.45,Horror,Premium,2,No,1.0,
Y8579,38,15.42,Comedy,Premium,1,No,0.0,
U3440,39,11.63,Comedy,Standard,7,No,2.0,
E4018,22,24.8,Drama,Standard,1,Yes,3.0,
C1249,19,19.4,Action,VIP,3,No,3.0,
Q5260,26,18.63,Sci-Fi,VIP,7,No,2.0,
U0284,59,21.39,Action,Premium,5,Yes,4.0,
R4146,59,13.77,Sci-Fi,Standard,1,Yes,1.0,
M4894,23,18.05,Sci-Fi,VIP,6,Yes,2.0,
J5824,46,23.81,Action,Standard,1,Yes,4.0,
T1793,22,24.82,Drama,Standard,1,Yes,3.0,
E4844,60,20.17,Comedy,Standard,1,No,4.0,
A9751,31,10.89,Comedy,Premium,1,No,0.0,
C0817,28,13.24,Sci-Fi,VIP,1,No,0.0,
G0405,30,13.38,Sci-Fi,Standard,2,Yes,0.0,
O7387,59,22.19,Horror,Standard,6,No,2.0,
T1735,43,15.44,Sci-Fi,Standard,3,No,1.0,
E2026,48,23.67,Horror,Premium,6,Yes,2.0,
S2667,46,22.81,Sci-Fi,Premium,1,Yes,4.0,
L8908,20,20.94,Horror,Premium,1,No,3.0,
I6271,37,12.31,Action,Premium,1,Yes,0.0,
D5815,50,23.98,Comedy,VIP,1,No,4.0,
M8884,46,20.13,Comedy,Standard,1,Yes,4.0,
H4556,45,10.18,Sci-Fi,Standard,7,No,2.0,
U9616,29,12.8,Horror,VIP,1,Yes,0.0,
B1445,56,18.18,Sci-Fi,VIP,1,No,4.0,
O8966,58,20.57,Comedy,Standard,3,Yes,4.0,
E8011,53,22.93,Sci-Fi,Standard,6,Yes,2.0,
V0442,24,17.99,Drama,Standard,2,No,3.0,
A3459,34,13.43,Sci-Fi,Premium,1,Yes,0.0,
U5170,19,19.81,Comedy,VIP,7,No,2.0,
D1265,33,16.22,Horror,Standard,6,No,2.0,
F2770,22,12.23,Action,VIP,1,No,0.0,
A3164,20,23.62,Sci-Fi,Standard,3,Yes,3.0,
U9486,48,10.23,Sci-Fi,VIP,1,No,1.0,
F0123,43,15.17,Sci-Fi,Standard,3,Yes,1.0,
N3258,21,12.84,Action,Premium,6,No,2.0,
N3378,42,18.03,Drama,Premium,2,No,4.0,
F3922,48,11.6,Horror,VIP,5,Yes,1.0,
X8730,56,18.66,Sci-Fi,VIP,3,No,4.0,
E2255,39,22.98,Drama,Premium,7,Yes,2.0,
U4454,23,11.75,Drama,VIP,1,Yes,0.0,
H9020,60,19.91,Horror,VIP,5,No,4.0,
G4508,34,19.9,Comedy,Premium,1,Yes,3.0,
W3495,40,10.92,Comedy,Standard,6,Yes,2.0,
S3916,35,22.02,Horror,Premium,1,No,3.0,
F7268,24,14.43,Sci-Fi,VIP,2,Yes,0.0,
P0917,19,20.79,Comedy,Standard,4,Yes,3.0,
H0854,54,23.89,Action,Premium,1,Yes,4.0,
E7698,41,18.65,Action,VIP,3,Yes,4.0,
S5893,47,18.5,Sci-Fi,VIP,1,No,4.0,
F4124,36,21.54,Action,VIP,1,Yes,3.0,
Y1864,51,24.45,Comedy,Standard,1,No,4.0,
G3831,32,18.98,Comedy,VIP,1,No,3.0,
I2649,39,12.88,Horror,VIP,3,Yes,1.0,
E0849,24,13.65,Comedy,Standard,6,No,2.0,
H3119,58,23.29,Horror,VIP,1,No,4.0,
M9916,53,13.09,Horror,VIP,2,Yes,1.0,
Q3717,41,16.33,Horror,VIP,5,Yes,2.0,
Y7042,56,10.99,Comedy,Standard,1,Yes,1.0,
Z6364,36,11.02,Horror,Standard,4,Yes,0.0,
P1867,51,20.95,Horror,Standard,5,No,2.0,
O2404,58,22.83,Action,Premium,1,Yes,4.0,
P7848,28,17.13,Drama,Premium,1,Yes,0.0,
Q0412,52,14.2,Comedy,Standard,1,No,1.0,
I8223,45,13.52,Drama,VIP,2,No,1.0,
I6287,31,12.79,Horror,Standard,1,Yes,0.0,
B8644,48,12.2,Drama,Premium,7,Yes,2.0,
O9543,53,14.6,Sci-Fi,Standard,3,No,1.0,
R6020,45,13.58,Comedy,Premium,3,No,1.0,
U6522,45,14.16,Drama,VIP,7,No,2.0,
H5569,42,24.61,Horror,VIP,6,No,2.0,
L6403,35,22.26,Horror,VIP,5,Yes,2.0,
F2516,55,13.39,Drama,Premium,1,No,1.0,
L8979,21,19.62,Action,VIP,1,Yes,3.0,
C5141,42,24.32,Horror,Standard,1,Yes,4.0,
N6099,30,20.13,Comedy,VIP,5,Yes,2.0,
U2005,43,20.11,Horror,Premium,1,Yes,4.0,
J6862,37,24.17,Action,VIP,1,No,3.0,
H7385,40,18.4,Comedy,Premium,1,No,4.0,
M6720,60,16.83,Drama,Standard,4,Yes,1.0,
J1703,35,23.43,Action,VIP,1,No,3.0,
L7656,41,22.2,Sci-Fi,Premium,3,No,4.0,
H8272,38,24.63,Horror,Premium,6,No,2.0,
T3421,46,19.75,Comedy,Premium,7,Yes,2.0,
E6095,47,24.16,Drama,Premium,1,No,4.0,
P1057,60,12.52,Horror,VIP,1,Yes,1.0,
T7208,21,11.73,Action,Premium,6,No,2.0,
S4408,34,23.6,Drama,Premium,6,No,2.0,
V8858,26,10.51,Comedy,Standard,1,Yes,0.0,
G1349,33,12.71,Horror,Premium,1,Yes,0.0,
L3183,36,24.9,Drama,VIP,1,Yes,3.0,
O0705,41,24.44,Drama,VIP,1,No,4.0,
O6315,29,23.39,Drama,Standard,4,No,3.0,
Y4099,52,20.48,Action,Premium,1,No,4.0,
Q8927,48,17.71,Drama,Premium,2,No,4.0,
W1085,41,20.8,Comedy,Standard,6,No,2.0,
X7294,37,10.38,Sci-Fi,VIP,5,Yes,2.0,
N0333,60,17.53,Sci-Fi,VIP,1,No,4.0,
R8256,25,24.42,Action,VIP,1,No,3.0,
G9983,38,12.81,Action,Standard,6,No,2.0,
G3617,36,22.2,Sci-Fi,Premium,1,No,3.0,
